Day,Number of Bicycle Hires
40389,6897
40390,5564
40391,4303
40392,6642
40393,7966
40394,7893
40395,8724
40396,9797
40397,6631
40398,7864
40399,6191
40400,4802
40401,14013
40402,13080
40403,12151
40404,9195
40405,10928
40406,15384
40407,15396
40408,16062
40409,17170
40410,16462
40411,11719
40412,10129
40413,12935
40414,17006
40415,10062
40416,9875
40417,12854
40418,10116
40419,7811
40420,10534
40421,17508
40422,19332
40423,20909
40424,20113
40425,14373
40426,12924
40427,16841
40428,25361
40429,18727
40430,20774
40431,19532
40432,13383
40433,14002
40434,18037
40435,17026
40436,20890
40437,20433
40438,20488
40439,15495
40440,11492
40441,20169
40442,22906
40443,23905
40444,17729
40445,18053
40446,14010
40447,7890
40448,18789
40449,21554
40450,13899
40451,21823
40452,11424
40453,10704
40454,8237
40455,23688
40456,22054
40457,20114
40458,24072
40459,22886
40460,14463
40461,14871
40462,21986
40463,23016
40464,22251
40465,21582
40466,20934
40467,12735
40468,12764
40469,20464
40470,17964
40471,20750
40472,21161
40473,20164
40474,11584
40475,11259
40476,18430
40477,13950
40478,19559
40479,19995
40480,19119
40481,13493
40482,8739
40483,19785
40484,21754
40485,27964
40486,22424
40487,15815
40488,11877
40489,9331
40490,11328
40491,16026
40492,19767
40493,12901
40494,14534
40495,12123
40496,6235
40497,18086
40498,18764
40499,17005
40500,15974
40501,18545
40502,10806
40503,8356
40504,17258
40505,17427
40506,18628
40507,16822
40508,16092
40509,7867
40510,6866
40511,16681
40512,9263
40513,9848
40514,7356
40515,8264
40516,7857
40517,8321
40518,13855
40519,15033
40520,15225
40521,16171
40522,15602
40523,10328
40524,8585
40525,14997
40526,15550
40527,13412
40528,10833
40529,10366
40530,2805
40531,2764
40532,6876
40533,7879
40534,9718
40535,8867
40536,5402
40537,5621
40538,4383
40539,3971
40540,3763
40541,7010
40542,7464
40543,7448
40544,4555
40545,6250
40546,7262
40547,13430
40548,13757
40549,9595
40550,9294
40551,9338
40552,10558
40553,16058
40554,16412
40555,13894
40556,15911
40557,14834
40558,11851
40559,10471
40560,10835
40561,17703
40562,18350
40563,17957
40564,16509
40565,10658
40566,9911
40567,17193
40568,17045
40569,16396
40570,16519
40571,15538
40572,9379
40573,9455
40574,16260
40575,16331
40576,18102
40577,15593
40578,14938
40579,8442
40580,9437
40581,16537
40582,19829
40583,18197
40584,11496
40585,16070
40586,12855
40587,7034
40588,17836
40589,15667
40590,18989
40591,18938
40592,17460
40593,6250
40594,7882
40595,13720
40596,15948
40597,12936
40598,19230
40599,18634
40600,7749
40601,8349
40602,13843
40603,15774
40604,16929
40605,16576
40606,16971
40607,9847
40608,7142
40609,16192
40610,17240
40611,18494
40612,18794
40613,19074
40614,15488
40615,10526
40616,19451
40617,19568
40618,19643
40619,20036
40620,14612
40621,17801
40622,14694
40623,20710
40624,21792
40625,23837
40626,23518
40627,24343
40628,16095
40629,17550
40630,21602
40631,22080
40632,18945
40633,20831
40634,22048
40635,19829
40636,17294
40637,20949
40638,16690
40639,25597
40640,25451
40641,26622
40642,22323
40643,21346
40644,22204
40645,23651
40646,18909
40647,22346
40648,22974
40649,19632
40650,22009
40651,24032
40652,27914
40653,27934
40654,26547
40655,23719
40656,19182
40657,21313
40658,21669
40659,22038
40660,24349
40661,23794
40662,19700
40663,21574
40664,19489
40665,18126
40666,23786
40667,26183
40668,23620
40669,28971
40670,22274
40671,21011
40672,27172
40673,29417
40674,27205
40675,23461
40676,23991
40677,21100
40678,19097
40679,24620
40680,25464
40681,23068
40682,27534
40683,27523
40684,24408
40685,19348
40686,24268
40687,27768
40688,28708
40689,18055
40690,22907
40691,15693
40692,18396
40693,16097
40694,23312
40695,26054
40696,26920
40697,26641
40698,15233
40699,8420
40700,13812
40701,22378
40702,23013
40703,25061
40704,20141
40705,21059
40706,6061
40707,23978
40708,28889
40709,25643
40710,17566
40711,15723
40712,13721
40713,17092
40714,20101
40715,26780
40716,22745
40717,24559
40718,22137
40719,17944
40720,23483
40721,26243
40722,21950
40723,28073
40724,27297
40725,27758
40726,22764
40727,21423
40728,27332
40729,24802
40730,26207
40731,20483
40732,19485
40733,21360
40734,20203
40735,26355
40736,26633
40737,25417
40738,26479
40739,27114
40740,10224
40741,10965
40742,18541
40743,21218
40744,21580
40745,20951
40746,25172
40747,20264
40748,22464
40749,25185
40750,25636
40751,24989
40752,26759
40753,25373
40754,23930
40755,21388
40756,22940
40757,24290
40758,26120
40759,15149
40760,26792
40761,20485
40762,14912
40763,23489
40764,23011
40765,24182
40766,20573
40767,22971
40768,20731
40769,21115
40770,23657
40771,24899
40772,23010
40773,16139
40774,25444
40775,17334
40776,21836
40777,25222
40778,10953
40779,22883
40780,20026
40781,12368
40782,14045
40783,15908
40784,17443
40785,21477
40786,23036
40787,25110
40788,25981
40789,24578
40790,14967
40791,21776
40792,13863
40793,22746
40794,23679
40795,23957
40796,20069
40797,17719
40798,21572
40799,23962
40800,25824
40801,25803
40802,25567
40803,15147
40804,17327
40805,23708
40806,23676
40807,22730
40808,24601
40809,25114
40810,22113
40811,21211
40812,20527
40813,24841
40814,28434
40815,29039
40816,29139
40817,27129
40818,26906
40819,27559
40820,26131
40821,26263
40822,25083
40823,24529
40824,18154
40825,17643
40826,24198
40827,26184
40828,26323
40829,25149
40830,26542
40831,23663
40832,18530
40833,23892
40834,23791
40835,23259
40836,23157
40837,23253
40838,20482
40839,18560
40840,22842
40841,22771
40842,17621
40843,19360
40844,23158
40845,18228
40846,15443
40847,22999
40848,22747
40849,23724
40850,18676
40851,18774
40852,16434
40853,14317
40854,20365
40855,19231
40856,22542
40857,23475
40858,21140
40859,18933
40860,17744
40861,19913
40862,22245
40863,21639
40864,22802
40865,22461
40866,18706
40867,14829
40868,20824
40869,20341
40870,21855
40871,21870
40872,21598
40873,15803
40874,14362
40875,20167
40876,18718
40877,20956
40878,16481
40879,19146
40880,13776
40881,10276
40882,18176
40883,18943
40884,19279
40885,17313
40886,18421
40887,11864
40888,8368
40889,16554
40890,17111
40891,17543
40892,17081
40893,11778
40894,8925
40895,7485
40896,11270
40897,15685
40898,14158
40899,15099
40900,9131
40901,4890
40902,17998
40903,10953
40904,8076
40905,9888
40906,8368
40907,6900
40908,7793
40909,5171
40910,9091
40911,10094
40912,13936
40913,14191
40914,17713
40915,12556
40916,10487
40917,19472
40918,20548
40919,20958
40920,20879
40921,19691
40922,13843
40923,12149
40924,19136
40925,20170
40926,17972
40927,15441
40928,18703
40929,13339
40930,12845
40931,20193
40932,13269
40933,20836
40934,19515
40935,20775
40936,13272
40937,10949
40938,18955
40939,18176
40940,18208
40941,16916
40942,16185
40943,8348
40944,3531
40945,15202
40946,17722
40947,16442
40948,16363
40949,15117
40950,9912
40951,8020
40952,13172
40953,17946
40954,19396
40955,19505
40956,19444
40957,9463
40958,12655
40959,18802
40960,20861
40961,18112
40962,23391
40963,22067
40964,19349
40965,17646
40966,20936
40967,23423
40968,23692
40969,25116
40970,21928
40971,17697
40972,5062
40973,19342
40974,21102
40975,17096
40976,24123
40977,23609
40978,24721
40979,27758
40980,28856
40981,27528
40982,28296
40983,29969
40984,26452
40985,13391
40986,19184
