Day,Number of Bicycle Hires
7/30/2010,6897
7/31/2010,5564
8/1/2010,4303
8/2/2010,6642
8/3/2010,7966
8/4/2010,7893
8/5/2010,8724
8/6/2010,9797
8/7/2010,6631
8/8/2010,7864
8/9/2010,6191
8/10/2010,4802
8/11/2010,14013
8/12/2010,13080
8/13/2010,12151
8/14/2010,9195
8/15/2010,10928
8/16/2010,15384
8/17/2010,15396
8/18/2010,16062
8/19/2010,17170
8/20/2010,16462
8/21/2010,11719
8/22/2010,10129
8/23/2010,12935
8/24/2010,17006
8/25/2010,10062
8/26/2010,9875
8/27/2010,12854
8/28/2010,10116
8/29/2010,7811
8/30/2010,10534
8/31/2010,17508
9/1/2010,19332
9/2/2010,20909
9/3/2010,20113
9/4/2010,14373
9/5/2010,12924
9/6/2010,16841
9/7/2010,25361
9/8/2010,18727
9/9/2010,20774
9/10/2010,19532
9/11/2010,13383
9/12/2010,14002
9/13/2010,18037
9/14/2010,17026
9/15/2010,20890
9/16/2010,20433
9/17/2010,20488
9/18/2010,15495
9/19/2010,11492
9/20/2010,20169
9/21/2010,22906
9/22/2010,23905
9/23/2010,17729
9/24/2010,18053
9/25/2010,14010
9/26/2010,7890
9/27/2010,18789
9/28/2010,21554
9/29/2010,13899
9/30/2010,21823
10/1/2010,11424
10/2/2010,10704
10/3/2010,8237
10/4/2010,23688
10/5/2010,22054
10/6/2010,20114
10/7/2010,24072
10/8/2010,22886
10/9/2010,14463
10/10/2010,14871
10/11/2010,21986
10/12/2010,23016
10/13/2010,22251
10/14/2010,21582
10/15/2010,20934
10/16/2010,12735
10/17/2010,12764
10/18/2010,20464
10/19/2010,17964
10/20/2010,20750
10/21/2010,21161
10/22/2010,20164
10/23/2010,11584
10/24/2010,11259
10/25/2010,18430
10/26/2010,13950
10/27/2010,19559
10/28/2010,19995
10/29/2010,19119
10/30/2010,13493
10/31/2010,8739
11/1/2010,19785
11/2/2010,21754
11/3/2010,27964
11/4/2010,22424
11/5/2010,15815
11/6/2010,11877
11/7/2010,9331
11/8/2010,11328
11/9/2010,16026
11/10/2010,19767
11/11/2010,12901
11/12/2010,14534
11/13/2010,12123
11/14/2010,6235
11/15/2010,18086
11/16/2010,18764
11/17/2010,17005
11/18/2010,15974
11/19/2010,18545
11/20/2010,10806
11/21/2010,8356
11/22/2010,17258
11/23/2010,17427
11/24/2010,18628
11/25/2010,16822
11/26/2010,16092
11/27/2010,7867
11/28/2010,6866
11/29/2010,16681
11/30/2010,9263
12/1/2010,9848
12/2/2010,7356
12/3/2010,8264
12/4/2010,7857
12/5/2010,8321
12/6/2010,13855
12/7/2010,15033
12/8/2010,15225
12/9/2010,16171
12/10/2010,15602
12/11/2010,10328
12/12/2010,8585
12/13/2010,14997
12/14/2010,15550
12/15/2010,13412
12/16/2010,10833
12/17/2010,10366
12/18/2010,2805
12/19/2010,2764
12/20/2010,6876
12/21/2010,7879
12/22/2010,9718
12/23/2010,8867
12/24/2010,5402
12/25/2010,5621
12/26/2010,4383
12/27/2010,3971
12/28/2010,3763
12/29/2010,7010
12/30/2010,7464
12/31/2010,7448
1/1/2011,4555
1/2/2011,6250
1/3/2011,7262
1/4/2011,13430
1/5/2011,13757
1/6/2011,9595
1/7/2011,9294
1/8/2011,9338
1/9/2011,10558
1/10/2011,16058
1/11/2011,16412
1/12/2011,13894
1/13/2011,15911
1/14/2011,14834
1/15/2011,11851
1/16/2011,10471
1/17/2011,10835
1/18/2011,17703
1/19/2011,18350
1/20/2011,17957
1/21/2011,16509
1/22/2011,10658
1/23/2011,9911
1/24/2011,17193
1/25/2011,17045
1/26/2011,16396
1/27/2011,16519
1/28/2011,15538
1/29/2011,9379
1/30/2011,9455
1/31/2011,16260
2/1/2011,16331
2/2/2011,18102
2/3/2011,15593
2/4/2011,14938
2/5/2011,8442
2/6/2011,9437
2/7/2011,16537
2/8/2011,19829
2/9/2011,18197
2/10/2011,11496
2/11/2011,16070
2/12/2011,12855
2/13/2011,7034
2/14/2011,17836
2/15/2011,15667
2/16/2011,18989
2/17/2011,18938
2/18/2011,17460
2/19/2011,6250
2/20/2011,7882
2/21/2011,13720
2/22/2011,15948
2/23/2011,12936
2/24/2011,19230
2/25/2011,18634
2/26/2011,7749
2/27/2011,8349
2/28/2011,13843
3/1/2011,15774
3/2/2011,16929
3/3/2011,16576
3/4/2011,16971
3/5/2011,9847
3/6/2011,7142
3/7/2011,16192
3/8/2011,17240
3/9/2011,18494
3/10/2011,18794
3/11/2011,19074
3/12/2011,15488
3/13/2011,10526
3/14/2011,19451
3/15/2011,19568
3/16/2011,19643
3/17/2011,20036
3/18/2011,14612
3/19/2011,17801
3/20/2011,14694
3/21/2011,20710
3/22/2011,21792
3/23/2011,23837
3/24/2011,23518
3/25/2011,24343
3/26/2011,16095
3/27/2011,17550
3/28/2011,21602
3/29/2011,22080
3/30/2011,18945
3/31/2011,20831
4/1/2011,22048
4/2/2011,19829
4/3/2011,17294
4/4/2011,20949
4/5/2011,16690
4/6/2011,25597
4/7/2011,25451
4/8/2011,26622
4/9/2011,22323
4/10/2011,21346
4/11/2011,22204
4/12/2011,23651
4/13/2011,18909
4/14/2011,22346
4/15/2011,22974
4/16/2011,19632
4/17/2011,22009
4/18/2011,24032
4/19/2011,27914
4/20/2011,27934
4/21/2011,26547
4/22/2011,23719
4/23/2011,19182
4/24/2011,21313
4/25/2011,21669
4/26/2011,22038
4/27/2011,24349
4/28/2011,23794
4/29/2011,19700
4/30/2011,21574
5/1/2011,19489
5/2/2011,18126
5/3/2011,23786
5/4/2011,26183
5/5/2011,23620
5/6/2011,28971
5/7/2011,22274
5/8/2011,21011
5/9/2011,27172
5/10/2011,29417
5/11/2011,27205
5/12/2011,23461
5/13/2011,23991
5/14/2011,21100
5/15/2011,19097
5/16/2011,24620
5/17/2011,25464
5/18/2011,23068
5/19/2011,27534
5/20/2011,27523
5/21/2011,24408
5/22/2011,19348
5/23/2011,24268
5/24/2011,27768
5/25/2011,28708
5/26/2011,18055
5/27/2011,22907
5/28/2011,15693
5/29/2011,18396
5/30/2011,16097
5/31/2011,23312
6/1/2011,26054
6/2/2011,26920
6/3/2011,26641
6/4/2011,15233
6/5/2011,8420
6/6/2011,13812
6/7/2011,22378
6/8/2011,23013
6/9/2011,25061
6/10/2011,20141
6/11/2011,21059
6/12/2011,6061
6/13/2011,23978
6/14/2011,28889
6/15/2011,25643
6/16/2011,17566
6/17/2011,15723
6/18/2011,13721
6/19/2011,17092
6/20/2011,20101
6/21/2011,26780
6/22/2011,22745
6/23/2011,24559
6/24/2011,22137
6/25/2011,17944
6/26/2011,23483
6/27/2011,26243
6/28/2011,21950
6/29/2011,28073
6/30/2011,27297
7/1/2011,27758
7/2/2011,22764
7/3/2011,21423
7/4/2011,27332
7/5/2011,24802
7/6/2011,26207
7/7/2011,20483
7/8/2011,19485
7/9/2011,21360
7/10/2011,20203
7/11/2011,26355
7/12/2011,26633
7/13/2011,25417
7/14/2011,26479
7/15/2011,27114
7/16/2011,10224
7/17/2011,10965
7/18/2011,18541
7/19/2011,21218
7/20/2011,21580
7/21/2011,20951
7/22/2011,25172
7/23/2011,20264
7/24/2011,22464
7/25/2011,25185
7/26/2011,25636
7/27/2011,24989
7/28/2011,26759
7/29/2011,25373
7/30/2011,23930
7/31/2011,21388
8/1/2011,22940
8/2/2011,24290
8/3/2011,26120
8/4/2011,15149
8/5/2011,26792
8/6/2011,20485
8/7/2011,14912
8/8/2011,23489
8/9/2011,23011
8/10/2011,24182
8/11/2011,20573
8/12/2011,22971
8/13/2011,20731
8/14/2011,21115
8/15/2011,23657
8/16/2011,24899
8/17/2011,23010
8/18/2011,16139
8/19/2011,25444
8/20/2011,17334
8/21/2011,21836
8/22/2011,25222
8/23/2011,10953
8/24/2011,22883
8/25/2011,20026
8/26/2011,12368
8/27/2011,14045
8/28/2011,15908
8/29/2011,17443
8/30/2011,21477
8/31/2011,23036
9/1/2011,25110
9/2/2011,25981
9/3/2011,24578
9/4/2011,14967
9/5/2011,21776
9/6/2011,13863
9/7/2011,22746
9/8/2011,23679
9/9/2011,23957
9/10/2011,20069
9/11/2011,17719
9/12/2011,21572
9/13/2011,23962
9/14/2011,25824
9/15/2011,25803
9/16/2011,25567
9/17/2011,15147
9/18/2011,17327
9/19/2011,23708
9/20/2011,23676
9/21/2011,22730
9/22/2011,24601
9/23/2011,25114
9/24/2011,22113
9/25/2011,21211
9/26/2011,20527
9/27/2011,24841
9/28/2011,28434
9/29/2011,29039
9/30/2011,29139
10/1/2011,27129
10/2/2011,26906
10/3/2011,27559
10/4/2011,26131
10/5/2011,26263
10/6/2011,25083
10/7/2011,24529
10/8/2011,18154
10/9/2011,17643
10/10/2011,24198
10/11/2011,26184
10/12/2011,26323
10/13/2011,25149
10/14/2011,26542
10/15/2011,23663
10/16/2011,18530
10/17/2011,23892
10/18/2011,23791
10/19/2011,23259
10/20/2011,23157
10/21/2011,23253
10/22/2011,20482
10/23/2011,18560
10/24/2011,22842
10/25/2011,22771
10/26/2011,17621
10/27/2011,19360
10/28/2011,23158
10/29/2011,18228
10/30/2011,15443
10/31/2011,22999
11/1/2011,22747
11/2/2011,23724
11/3/2011,18676
11/4/2011,18774
11/5/2011,16434
11/6/2011,14317
11/7/2011,20365
11/8/2011,19231
11/9/2011,22542
11/10/2011,23475
11/11/2011,21140
11/12/2011,18933
11/13/2011,17744
11/14/2011,19913
11/15/2011,22245
11/16/2011,21639
11/17/2011,22802
11/18/2011,22461
11/19/2011,18706
11/20/2011,14829
11/21/2011,20824
11/22/2011,20341
11/23/2011,21855
11/24/2011,21870
11/25/2011,21598
11/26/2011,15803
11/27/2011,14362
11/28/2011,20167
11/29/2011,18718
11/30/2011,20956
12/1/2011,16481
12/2/2011,19146
12/3/2011,13776
12/4/2011,10276
12/5/2011,18176
12/6/2011,18943
12/7/2011,19279
12/8/2011,17313
12/9/2011,18421
12/10/2011,11864
12/11/2011,8368
12/12/2011,16554
12/13/2011,17111
12/14/2011,17543
12/15/2011,17081
12/16/2011,11778
12/17/2011,8925
12/18/2011,7485
12/19/2011,11270
12/20/2011,15685
12/21/2011,14158
12/22/2011,15099
12/23/2011,9131
12/24/2011,4890
12/25/2011,17998
12/26/2011,10953
12/27/2011,8076
12/28/2011,9888
12/29/2011,8368
12/30/2011,6900
12/31/2011,7793
1/1/2012,5171
1/2/2012,9091
1/3/2012,10094
1/4/2012,13936
1/5/2012,14191
1/6/2012,17713
1/7/2012,12556
1/8/2012,10487
1/9/2012,19472
1/10/2012,20548
1/11/2012,20958
1/12/2012,20879
1/13/2012,19691
1/14/2012,13843
1/15/2012,12149
1/16/2012,19136
1/17/2012,20170
1/18/2012,17972
1/19/2012,15441
1/20/2012,18703
1/21/2012,13339
1/22/2012,12845
1/23/2012,20193
1/24/2012,13269
1/25/2012,20836
1/26/2012,19515
1/27/2012,20775
1/28/2012,13272
1/29/2012,10949
1/30/2012,18955
1/31/2012,18176
2/1/2012,18208
2/2/2012,16916
2/3/2012,16185
2/4/2012,8348
2/5/2012,3531
2/6/2012,15202
2/7/2012,17722
2/8/2012,16442
2/9/2012,16363
2/10/2012,15117
2/11/2012,9912
2/12/2012,8020
2/13/2012,13172
2/14/2012,17946
2/15/2012,19396
2/16/2012,19505
2/17/2012,19444
2/18/2012,9463
2/19/2012,12655
2/20/2012,18802
2/21/2012,20861
2/22/2012,18112
2/23/2012,23391
2/24/2012,22067
2/25/2012,19349
2/26/2012,17646
2/27/2012,20936
2/28/2012,23423
2/29/2012,23692
3/1/2012,25116
3/2/2012,21928
3/3/2012,17697
3/4/2012,5062
3/5/2012,19342
3/6/2012,21102
3/7/2012,17096
3/8/2012,24123
3/9/2012,23609
3/10/2012,24721
3/11/2012,27758
3/12/2012,28856
3/13/2012,27528
3/14/2012,28296
3/15/2012,29969
3/16/2012,26452
3/17/2012,13391
3/18/2012,19184
3/19/2012,28391
3/20/2012,30817
3/21/2012,31175
3/22/2012,31135
3/23/2012,33635
3/24/2012,35091
3/25/2012,28607
3/26/2012,32368
3/27/2012,34563
3/28/2012,36539
3/29/2012,35954
3/30/2012,35666
3/31/2012,23038
4/1/2012,30513
4/2/2012,32142
4/3/2012,25956
4/4/2012,27912
4/5/2012,24383
4/6/2012,22354
4/7/2012,16848
4/8/2012,15717
4/9/2012,6214
4/10/2012,24898
4/11/2012,29345
4/12/2012,25772
4/13/2012,27673
4/14/2012,26193
4/15/2012,10188
4/16/2012,28188
4/17/2012,20105
4/18/2012,16651
4/19/2012,18759
4/20/2012,22730
4/21/2012,22014
4/22/2012,19707
4/23/2012,19262
4/24/2012,27522
4/25/2012,12737
4/26/2012,21740
4/27/2012,24263
4/28/2012,7827
4/29/2012,9951
4/30/2012,31909
5/1/2012,24523
5/2/2012,28381
5/3/2012,23768
5/4/2012,25503
5/5/2012,16009
5/6/2012,17160
5/7/2012,15227
5/8/2012,28585
5/9/2012,21758
5/10/2012,26164
5/11/2012,31385
5/12/2012,30699
5/13/2012,28778
5/14/2012,23344
5/15/2012,18409
5/16/2012,31453
5/17/2012,31219
5/18/2012,30945
5/19/2012,28474
5/20/2012,22286
5/21/2012,30905
5/22/2012,36720
5/23/2012,40486
5/24/2012,42008
5/25/2012,41357
5/26/2012,39358
5/27/2012,38781
5/28/2012,40872
5/29/2012,37962
5/30/2012,38803
5/31/2012,35630
6/1/2012,34524
6/2/2012,25283
6/3/2012,12207
6/4/2012,22649
6/5/2012,15537
6/6/2012,30297
6/7/2012,23066
6/8/2012,22224
6/9/2012,29258
6/10/2012,20876
6/11/2012,10252
6/12/2012,23742
6/13/2012,34447
6/14/2012,31593
6/15/2012,30944
6/16/2012,26300
6/17/2012,28531
6/18/2012,31089
6/19/2012,37601
6/20/2012,39267
6/21/2012,27052
6/22/2012,33027
6/23/2012,26900
6/24/2012,23509
6/25/2012,36337
6/26/2012,37652
6/27/2012,36767
6/28/2012,39571
6/29/2012,35321
6/30/2012,32982
7/1/2012,27438
